gtin_upc,ingredients,description,brand_owner,brand_name,subbrand_name,branded_food_category
16000204393,"DEGERMED YELLOW CORN MEAL, SUGAR, PALM KERNEL AND/OR PALM OIL, DEXTROSE, WHEY POWDER, MODIFIED CORN STARCH. CONTAINS 2% OR LESS OF: CORN SYRUP, CORN CEREAL, CORN STARCH, COLOR ADDED, SALT, SOY LECITHIN, NATURAL AND ARTIFICIAL FLAVOR, BAKING SODA, DISTILLED MONOGLYCERIDES, YELLOW CORN FLOUR, YELLOW 6, RED 40, CALCIUM PROPIONATE, BLUE 1, YELLOW 5, MALTODEXTRIN. FRESHNESS PRESERVED BY BHT.","FUNFETTI COATED CHEX SNACK, FUNFETTI","General Mills, Inc.",CHEX MIX,MUDDY BUDDIES,Other Snacks
16000208889,"ENRICHED FLOUR BLEACHED (WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), BROWN SUGAR, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, SOY LECITHIN, NATURAL FLAVOR), SUGAR, PALM OIL, WHEAT PROTEIN ISOLATE, LEAVENING (BAKING SODA, SODIUM ALUMINUM PHOSPHATE), SALT, ARTIFICIAL FLAVOR.","BATCHABLES CHOCOLATE CHIP COOKIE MIX, BATCHABLES CHOCOLATE CHIP","General Mills, Inc.",BETTY CROCKER,,"Cake, Cookie & Cupcake Mixes"
16000211445,"WHOLE GRAIN WHEAT, SUGAR, RICE FLOUR, CANOLA AND/OR SUNFLOWER OIL, FRUCTOSE, MALTODEXTRIN, DEXTROSE, SALT, CINNAMON, TRISODIUM PHOSPHATE, SOY LECITHIN, CARAMEL COLOR, ROSEMARY EXTRACT. BHT ADDED TO PRESERVE FRESHNESS. VITAMINS AND MINERALS: CALCIUM CARBONATE, VITAMIN C (SODIUM ASCORBATE), IRON AND ZINC (MINERAL NUTRIENTS), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B1 (THIAMIN MONONITRATE), VITAMIN A (PALMITATE), VITAMIN B2 (RIBOFLAVIN), A B VITAMIN (FOLIC ACID), VITAMIN B12, VITAMIN D3.","CINNAMON CRISPY, SWEETENED WHOLE WHEAT & RICE CEREAL, CINNAMON","General Mills, Inc.",CINNAMON TOAST CRUNCH,,Cereal
16000211674,"WHOLE GRAIN CORN, SUGAR, REESE'S PEANUT BUTTER (PEANUTS, SUGAR, MONOGLYCERIDES, PEANUT OIL, SALT, MOLASSES, CORN STARCH), CORN MEAL, DEXTROSE, CORN SYRUP, PEANUT FLOUR, CANOLA AND/OR SUNFLOWER OIL, SALT, CARAMEL COLOR, TRISODIUM PHOSPHATE, NATURAL AND ARTIFICIAL FLAVOR, ROSEMARY EXTRACT. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS. VITAMINS AND MINERALS: TRICALCIUM PHOSPHATE, CALCIUM CARBONATE, VITAMIN C (SODIUM ASCORBATE), IRON AND ZINC (MINERAL NUTRIENTS), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B1 (THIAMIN MONONITRATE), VITAMIN A (PALMITATE), VITAMIN B2 (RIBOFLAVIN), A B VITAMIN (FOLIC ACID), VITAMIN B12, VITAMIN D3.","PEANUT BUTTER LOVERS SWEET & CRUNCHY CORN PUFFS, PEANUT BUTTER LOVERS","General Mills, Inc.",REESE'S PUFFS,,Cereal
3479908,"MILK CHOCOLATE (SUGAR, MILK, COCOA BUTTER, CHOCOLATE, MILK FAT, LECITHIN (SOY), NATURAL & ARTIFICIAL FLAVOR), SUGAR, CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, PALM OIL, COCOA PROCESSED WITH ALKALI, CONTAINS 2% OR LESS OF: GLYCERIN, CHOCOLATE, LECITHIN (SOY).","MILK CHOCOLATE WITH SOFT CHOCOLATE CREME EGG, MILK CHOCOLATE WITH SOFT CHOCOLATE CREME",The Hershey Company,CADBURY,,Chocolate
4900004760,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR. PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE.","CLASSIC COLA, CLASSIC",,COCA-COLA,,Soda
49000073850,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE.","Coca-Cola Vanilla Cans, 7.5 fl oz, 6 Pack",The Coca-Cola Company,Coca-Cola,Coca-Cola Vanilla,Non Alcoholic Beverages  Ready to Drink
732153015951,"WILD CAUGHT SALMON, MAPLE SUGAR, ORGANIC EXTRA VIRGIN COCONUT OIL, SEA SALT, ONION POWDER, GARLIC POWDER, DILL.","SMOKED MAPLE SALMON FILLET STRIP, SMOKED MAPLE","General Mills, Inc.",EPIC,,Other Snacks
732153015999,"GRASS FED VENISON, SEA SALT, CRACKED PEPPER, ONION POWDER, GARLIC POWDER.","ORIGINAL HUNTER'S RECIPE TENDER VENISON STEAK BITES, ORIGINAL HUNTER'S RECIPE","General Mills, Inc.",EPIC,,Other Snacks
732153015944,"VENISON, BEEF, SEA SALT, BLACK PEPPER, ONION POWDER, GARLIC POWDER.","SEA SALT + PEPPER VENISON STRIP WITH BEEF, SEA SALT + PEPPER WITH BEEF","General Mills, Inc.",EPIC,,Other Snacks
732153015920,"BEEF, HONEY, SEA SALT, BLACK PEPPER, GARLIC POWDER.","WAGYU BEEF STEAK STRIP, WAGYU BEEF","General Mills, Inc.",EPIC,,Other Snacks
